LST_DATE,DAY,LST_TIME,T_HR_AVG
20100601,TUESDAY,00:00:00,25.2
20100601,TUESDAY,01:00:00,24.1
20100601,TUESDAY,02:00:00,24.4
20100601,TUESDAY,03:00:00,24.9
20100601,TUESDAY,04:00:00,22.8
20100601,TUESDAY,05:00:00,19.8
20100601,TUESDAY,06:00:00,18.8
20100601,TUESDAY,07:00:00,21.2
20100601,TUESDAY,08:00:00,24.2
20100601,TUESDAY,09:00:00,27.1
20100601,TUESDAY,10:00:00,29.3
20100601,TUESDAY,11:00:00,30.6
20100601,TUESDAY,12:00:00,32.6
20100601,TUESDAY,13:00:00,34
20100601,TUESDAY,14:00:00,34
20100601,TUESDAY,15:00:00,34.9
20100601,TUESDAY,16:00:00,34.6
20100601,TUESDAY,17:00:00,33.8
20100601,TUESDAY,18:00:00,33.5
20100601,TUESDAY,19:00:00,32.8
20100601,TUESDAY,20:00:00,31
20100601,TUESDAY,21:00:00,29
20100601,TUESDAY,22:00:00,27.6
20100601,TUESDAY,23:00:00,26.3
20100602,WEDNESDAY,00:00:00,23.8
20100602,WEDNESDAY,01:00:00,20.6
20100602,WEDNESDAY,02:00:00,19.1
20100602,WEDNESDAY,03:00:00,18.4
20100602,WEDNESDAY,04:00:00,18.9
20100602,WEDNESDAY,05:00:00,18.2
20100602,WEDNESDAY,06:00:00,17.9
20100602,WEDNESDAY,07:00:00,20.2
20100602,WEDNESDAY,08:00:00,23.8
20100602,WEDNESDAY,09:00:00,26.1
20100602,WEDNESDAY,10:00:00,27.9
20100602,WEDNESDAY,11:00:00,29.3
20100602,WEDNESDAY,12:00:00,30.9
20100602,WEDNESDAY,13:00:00,32.2
20100602,WEDNESDAY,14:00:00,33.1
20100602,WEDNESDAY,15:00:00,33.7
20100602,WEDNESDAY,16:00:00,34.5
20100602,WEDNESDAY,17:00:00,34.7
20100602,WEDNESDAY,18:00:00,34.8
20100602,WEDNESDAY,19:00:00,34.2
20100602,WEDNESDAY,20:00:00,32.8
20100602,WEDNESDAY,21:00:00,31
20100602,WEDNESDAY,22:00:00,28.7
20100602,WEDNESDAY,23:00:00,25.5
20100603,THURSDAY,00:00:00,24.3
20100603,THURSDAY,01:00:00,23.1
20100603,THURSDAY,02:00:00,21.8
20100603,THURSDAY,03:00:00,19.8
20100603,THURSDAY,04:00:00,18.5
20100603,THURSDAY,05:00:00,19.2
20100603,THURSDAY,06:00:00,19.7
20100603,THURSDAY,07:00:00,20.7
20100603,THURSDAY,08:00:00,23.2
20100603,THURSDAY,09:00:00,26.1
20100603,THURSDAY,10:00:00,28.6
20100603,THURSDAY,11:00:00,30.8
20100603,THURSDAY,12:00:00,32.3
20100603,THURSDAY,13:00:00,33.8
20100603,THURSDAY,14:00:00,34.9
20100603,THURSDAY,15:00:00,35.8
20100603,THURSDAY,16:00:00,35.9
20100603,THURSDAY,17:00:00,36.3
20100603,THURSDAY,18:00:00,35.8
20100603,THURSDAY,19:00:00,35.4
20100603,THURSDAY,20:00:00,34.2
20100603,THURSDAY,21:00:00,32.7
20100603,THURSDAY,22:00:00,31.1
20100603,THURSDAY,23:00:00,28.6
20100604,FRIDAY,00:00:00,26.4
20100604,FRIDAY,01:00:00,25.4
20100604,FRIDAY,02:00:00,24.2
20100604,FRIDAY,03:00:00,23.6
20100604,FRIDAY,04:00:00,22.5
20100604,FRIDAY,05:00:00,21
20100604,FRIDAY,06:00:00,21.3
20100604,FRIDAY,07:00:00,22.5
20100604,FRIDAY,08:00:00,24.7
20100604,FRIDAY,09:00:00,28.1
20100604,FRIDAY,10:00:00,30.6
20100604,FRIDAY,11:00:00,32.5
20100604,FRIDAY,12:00:00,33.9
20100604,FRIDAY,13:00:00,35.5
20100604,FRIDAY,14:00:00,36.6
20100604,FRIDAY,15:00:00,37.2
20100604,FRIDAY,16:00:00,37.8
20100604,FRIDAY,17:00:00,38.1
20100604,FRIDAY,18:00:00,38.2
20100604,FRIDAY,19:00:00,37.4
20100604,FRIDAY,20:00:00,36
20100604,FRIDAY,21:00:00,34.4
20100604,FRIDAY,22:00:00,32.6
20100604,FRIDAY,23:00:00,30.1
20100605,SATURDAY,00:00:00,28.3
20100605,SATURDAY,01:00:00,27.3
20100605,SATURDAY,02:00:00,26.3
20100605,SATURDAY,03:00:00,25.3
20100605,SATURDAY,04:00:00,24.7
20100605,SATURDAY,05:00:00,24.7
20100605,SATURDAY,06:00:00,23.9
20100605,SATURDAY,07:00:00,24.7
20100605,SATURDAY,08:00:00,27.7
20100605,SATURDAY,09:00:00,30.4
20100605,SATURDAY,10:00:00,32.6
20100605,SATURDAY,11:00:00,34.8
20100605,SATURDAY,12:00:00,36.4
20100605,SATURDAY,13:00:00,37.2
20100605,SATURDAY,14:00:00,38.4
20100605,SATURDAY,15:00:00,39.7
20100605,SATURDAY,16:00:00,40
20100605,SATURDAY,17:00:00,40.4
20100605,SATURDAY,18:00:00,40.1
20100605,SATURDAY,19:00:00,39
20100605,SATURDAY,20:00:00,37.3
20100605,SATURDAY,21:00:00,35.7
20100605,SATURDAY,22:00:00,33.9
20100605,SATURDAY,23:00:00,31.4
20100606,SUNDAY,00:00:00,29.7
20100606,SUNDAY,01:00:00,28.6
20100606,SUNDAY,02:00:00,26.9
20100606,SUNDAY,03:00:00,25.9
20100606,SUNDAY,04:00:00,25.2
20100606,SUNDAY,05:00:00,24.8
20100606,SUNDAY,06:00:00,23.9
20100606,SUNDAY,07:00:00,26.1
20100606,SUNDAY,08:00:00,27.9
20100606,SUNDAY,09:00:00,30.5
20100606,SUNDAY,10:00:00,33.7
20100606,SUNDAY,11:00:00,35.6
20100606,SUNDAY,12:00:00,36.9
20100606,SUNDAY,13:00:00,38.4
20100606,SUNDAY,14:00:00,39.2
20100606,SUNDAY,15:00:00,40.2
20100606,SUNDAY,16:00:00,40.6
20100606,SUNDAY,17:00:00,40.6
20100606,SUNDAY,18:00:00,40.3
20100606,SUNDAY,19:00:00,39.5
20100606,SUNDAY,20:00:00,37.9
20100606,SUNDAY,21:00:00,36.5
20100606,SUNDAY,22:00:00,35
20100606,SUNDAY,23:00:00,32.9
20100607,MONDAY,00:00:00,30.9
20100607,MONDAY,01:00:00,28.7
20100607,MONDAY,02:00:00,26.9
20100607,MONDAY,03:00:00,25.2
20100607,MONDAY,04:00:00,24.1
20100607,MONDAY,05:00:00,24.3
20100607,MONDAY,06:00:00,23.4
20100607,MONDAY,07:00:00,25.7
20100607,MONDAY,08:00:00,28.5
20100607,MONDAY,09:00:00,30.7
20100607,MONDAY,10:00:00,32.5
20100607,MONDAY,11:00:00,34.1
20100607,MONDAY,12:00:00,36.1
20100607,MONDAY,13:00:00,37.6
20100607,MONDAY,14:00:00,39
20100607,MONDAY,15:00:00,40.2
20100607,MONDAY,16:00:00,40.3
20100607,MONDAY,17:00:00,40.2
20100607,MONDAY,18:00:00,40.1
20100607,MONDAY,19:00:00,39.4
20100607,MONDAY,20:00:00,38.5
20100607,MONDAY,21:00:00,37
20100607,MONDAY,22:00:00,34.7
20100607,MONDAY,23:00:00,32.6
